FPS               Frame                Time   AcumelatedObjects        ObjectsFound       ObjectTracked                   X                   Y                  VX                  VY                  dX                  dY               Width              Height
12                 720             278.298                2741                  24                  32                 126                 361             70.7071            -50.5051                   7                  -5                  72                 214
12                 721             278.396                2742                  24                  32                 137                 350                 125                -125                  11                 -11                  81                 215
12                 722             278.505                2742                  20                  32                 150                 339             108.333            -91.6667                  13                 -11                  91                 211
12                 723             278.584                2751                  23                  32                 168                 328             227.848            -139.241                  18                 -11                 111                 206
12                 724             278.683                2753                  19                  32                 184                 320             183.908             -91.954                  16                  -8                 129                 200
12                 725             278.782                2760                  22                  32                 194                 315              101.01            -50.5051                  10                  -5                 145                 194
12                 726             278.848                2763                  21                  32                 203                 311             136.364            -60.6061                   9                  -4                 158                 187
12                 727             278.968                2769                  25                  32                 208                 311             41.6667                   0                   5                   0                 167                 182
12                 728             279.036                2769                  18                  32                 208                 314                   0             44.1176                   0                   3                 169                 185
11                 729             279.134                2777                  22                  32                 221                 329             131.313             151.515                  13                  15                 139                 144
11                 730             279.235                2780                  21                  32                 221                 330                   0             9.90099                   0                   1                 138                 143
11                 731             279.325                2794                  29                  32                 221                 330                   0                   0                   0                   0                 132                 144
11                 732             279.447                2800                  25                  32                 222                 331             8.26446             8.26446                   1                   1                 138                 142
11                 733             279.491                2805                  27                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 734             279.568                2814                  32                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 735             279.668                2820                  34                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 736             279.767                2824                  27                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 737             279.887                2834                  30                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 738             279.952                2841                  30                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 739             280.054                2844                  29                  32                 222                 331                   0                   0                   0                   0                 138                 144
11                 740             280.121                2848                  25                  32                 221                 331            -15.1515                   0                  -1                   0                 132                 143
11                 741              280.22                2858                  27                  32                 222                 331             11.3636                   0                   1                   0                 138                 143
11                 742             280.329                2862                  19                  32                 222                 331                   0                   0                   0                   0                 138                 143
11                 743             280.409                2871                  24                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 744             280.497                2876                  25                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 745             280.595                2876                  18                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 746             280.694                2878                  17                  32                 222                 331                   0                   0                   0                   0                 138                 143
11                 747             280.805                2883                  22                  32                 222                 331                   0                   0                   0                   0                 138                 142
11                 748             280.862                2890                  25                  32                 222                 331                   0                   0                   0                   0                 138                 143
11                 749              280.95                2891                  16                  32                 223                 331             11.3636                   0                   1                   0                 138                 143
11                 750             281.051                2896                  18                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 751             281.139                2896                  14                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 752              281.26                2898                  13                  32                 223                 331                   0                   0                   0                   0                 138                 142
11                 753             281.336                2904                  14                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 754             281.425                2910                  15                  32                 223                 331                   0                   0                   0                   0                 138                 142
